,months_as_customer,policy_csl,policy_deductable,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
27,202,100/300,500,MALE,JD,exec-managerial,not-in-family,31000,-30200,Vehicle Theft,Rear Collision,Minor Damage,None,5,1,YES,NO,1040,520,4160,Y
28,224,100/300,2000,FEMALE,JD,sales,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,YES,7760,15520,46560,N
29,241,500/1000,2000,FEMALE,PhD,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,NO,14100,14100,63450,N
30,64,250/500,1000,MALE,Masters,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,NO,12600,12600,50400,N
31,166,100/300,2000,MALE,JD,craft-repair,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,NO,7460,7460,52220,Y
32,155,500/1000,1000,FEMALE,Associate,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,NO,3310,3310,23170,N
33,114,100/300,1000,MALE,High School,farming-fishing,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,NO,14020,14020,49070,N
34,149,500/1000,500,MALE,PhD,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,YES,10800,5400,48600,N
35,147,100/300,1000,MALE,High School,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,YES,10620,5310,37170,Y
36,62,100/300,1000,FEMALE,Masters,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,NO,YES,6020,6020,48160,Y
37,289,500/1000,2000,FEMALE,JD,priv-house-serv,unmarried,0,0,Parked Car,Rear Collision,Minor Damage,None,16,1,NO,YES,1230,820,3280,N
38,431,500/1000,2000,FEMALE,MD,craft-repair,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,NO,NO,12460,6230,43610,N
39,199,250/500,500,MALE,JD,tech-support,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,NO,NO,10940,10940,38290,Y
40,79,100/300,500,MALE,Associate,tech-support,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,NO,8000,4000,28000,N
41,116,250/500,500,MALE,Associate,transport-moving,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,NO,NO,16180,16180,64720,Y
42,37,500/1000,500,FEMALE,College,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,NO,5740,5740,40180,N
43,106,250/500,500,FEMALE,PhD,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,NO,5680,5680,39760,N
44,269,100/300,2000,MALE,JD,priv-house-serv,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,NO,11280,11280,33840,N
45,265,250/500,1000,FEMALE,MD,protective-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,NO,6890,0,48230,N
46,163,100/300,500,FEMALE,Associate,other-service,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,NO,0,14020,63090,N
47,355,500/1000,2000,MALE,College,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,NO,6280,6280,50240,Y
48,175,500/1000,1000,FEMALE,PhD,protective-serv,other-relative,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,5,1,NO,YES,810,810,5670,N
49,192,100/300,1000,FEMALE,Masters,exec-managerial,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,NO,15320,7660,53620,N
50,430,250/500,2000,MALE,MD,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,YES,16360,8180,57260,N
51,91,100/300,2000,FEMALE,JD,farming-fishing,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,4,1,NO,NO,1320,660,5280,N
52,217,100/300,1000,MALE,College,armed-forces,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,8,1,NO,YES,430,430,3440,N
53,223,100/300,500,FEMALE,JD,priv-house-serv,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,NO,12820,12820,44870,N
54,195,250/500,1000,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,Parked Car,Rear Collision,Minor Damage,Police,5,1,NO,YES,480,480,1680,N
55,22,100/300,1000,MALE,PhD,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,NO,15780,7890,55230,N
56,439,250/500,500,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,NO,NO,0,6270,50160,N
57,94,500/1000,1000,FEMALE,Masters,adm-clerical,own-child,0,0,Parked Car,Rear Collision,Minor Damage,None,19,1,NO,NO,300,300,1800,N
58,11,250/500,2000,MALE,PhD,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,NO,7310,7310,51170,N
59,151,250/500,2000,FEMALE,MD,adm-clerical,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,NO,11440,5720,45760,N
60,154,100/300,500,MALE,PhD,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,NO,15440,0,54040,Y
61,245,500/1000,1000,MALE,JD,handlers-cleaners,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,NO,7380,3690,33210,N
62,119,500/1000,1000,MALE,High School,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,YES,5630,11260,39410,N
63,215,500/1000,500,MALE,JD,transport-moving,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,YES,11420,5710,51390,Y
64,295,250/500,2000,MALE,PhD,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,NO,6570,6570,45990,Y
65,254,100/300,500,FEMALE,MD,exec-managerial,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,NO,13720,6860,61740,Y
66,107,250/500,500,FEMALE,High School,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,NO,13800,13800,62100,Y
67,478,250/500,500,FEMALE,Associate,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,NO,0,3770,30160,N
68,128,100/300,1000,MALE,MD,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,NO,12460,6230,49840,N
69,338,500/1000,1000,MALE,MD,other-service,own-child,0,-51500,Parked Car,Rear Collision,Minor Damage,None,13,1,NO,NO,860,860,2580,N
70,271,100/300,500,FEMALE,Associate,prof-specialty,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,NO,NO,12420,6210,49680,Y
71,222,100/300,2000,FEMALE,MD,armed-forces,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,NO,6810,6810,47670,Y
72,199,250/500,1000,FEMALE,Associate,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,NO,3010,0,27090,N
73,215,100/300,500,FEMALE,College,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,YES,9520,4760,42840,N
74,192,100/300,1000,FEMALE,Associate,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,YES,9540,4770,28620,N
75,120,100/300,1000,FEMALE,High School,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,NO,11380,5690,34140,N
76,270,500/1000,1000,FEMALE,College,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,YES,14900,7450,67050,N
77,319,250/500,500,MALE,College,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,NO,10860,10860,38010,N
78,194,500/1000,1000,FEMALE,JD,other-service,wife,0,-45000,Vehicle Theft,Rear Collision,Minor Damage,None,15,1,YES,YES,1240,1240,5580,N
79,227,500/1000,500,FEMALE,PhD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,NO,NO,14440,7220,50540,Y
80,137,250/500,2000,MALE,High School,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,NO,10160,10160,30480,N
81,244,500/1000,2000,FEMALE,Masters,exec-managerial,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,10,1,NO,NO,660,1320,4620,N
82,78,250/500,1000,MALE,Masters,other-service,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,3,1,YES,NO,750,1500,5250,N
83,200,250/500,2000,MALE,High School,exec-managerial,wife,57300,-80600,Vehicle Theft,Rear Collision,Trivial Damage,None,13,1,NO,YES,1180,1180,4130,N
84,284,500/1000,2000,MALE,Masters,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,NO,NO,5540,11080,44320,Y
85,275,100/300,2000,MALE,High School,transport-moving,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,NO,5830,11660,40810,N
86,153,500/1000,1000,FEMALE,Associate,priv-house-serv,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,NO,NO,11400,11400,45600,N
87,134,500/1000,500,FEMALE,MD,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,NO,YES,11680,11680,40880,N
88,31,500/1000,2000,FEMALE,College,prof-specialty,not-in-family,0,-78600,Parked Car,Rear Collision,Trivial Damage,None,9,1,NO,YES,940,470,3290,N
89,41,100/300,1000,FEMALE,College,exec-managerial,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,NO,0,5640,39480,Y
90,127,250/500,2000,FEMALE,High School,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,NO,10300,10300,46350,N
91,61,250/500,2000,FEMALE,Associate,tech-support,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,NO,8940,17880,71520,Y
92,207,250/500,2000,MALE,PhD,farming-fishing,own-child,55200,0,Parked Car,Rear Collision,Trivial Damage,None,9,1,NO,NO,590,590,4720,N
93,219,100/300,1000,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,NO,5890,11780,53010,N
94,271,100/300,500,FEMALE,High School,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,NO,17040,8520,68160,N
95,80,100/300,2000,FEMALE,PhD,armed-forces,husband,67700,-58400,Vehicle Theft,Rear Collision,Minor Damage,None,5,1,NO,YES,1260,630,5040,N
96,325,500/1000,1000,FEMALE,Associate,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,YES,NO,6630,6630,59670,Y
97,29,250/500,2000,MALE,Masters,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,YES,7210,7210,50470,Y
98,295,250/500,1000,FEMALE,College,machine-op-inspct,wife,0,0,Parked Car,Rear Collision,Trivial Damage,None,6,1,NO,YES,900,900,3600,N
99,239,100/300,1000,MALE,College,exec-managerial,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,10,1,NO,NO,700,700,4200,N
100,269,100/300,500,FEMALE,College,protective-serv,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,YES,NO,15860,15860,47580,N
101,80,100/300,1000,FEMALE,College,tech-support,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,YES,10560,5280,36960,N
102,279,250/500,500,FEMALE,JD,prof-specialty,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,NO,0,3600,25200,N
103,165,100/300,1000,FEMALE,Associate,tech-support,other-relative,35300,-58100,Parked Car,Rear Collision,Minor Damage,Police,3,1,NO,NO,330,330,2310,N
104,350,500/1000,500,MALE,College,other-service,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,NO,NO,15580,7790,70110,N
105,295,100/300,500,MALE,College,prof-specialty,husband,34300,-24300,Vehicle Theft,Rear Collision,Minor Damage,None,4,1,YES,YES,480,480,3360,N
106,464,500/1000,1000,FEMALE,Associate,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,NO,YES,6650,19950,53200,Y
107,118,500/1000,2000,FEMALE,High School,handlers-cleaners,own-child,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,NO,7420,14840,51940,N
108,298,500/1000,2000,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,NO,NO,10860,10860,48870,Y
109,87,500/1000,1000,FEMALE,Masters,sales,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,YES,5540,11080,44320,Y
110,261,250/500,500,FEMALE,College,prof-specialty,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,NO,YES,7470,14940,52290,N
111,453,100/300,500,MALE,PhD,craft-repair,unmarried,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,NO,14000,7000,49000,Y
112,210,500/1000,500,MALE,High School,exec-managerial,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,NO,NO,14740,14740,51590,N
113,168,100/300,1000,MALE,MD,protective-serv,own-child,0,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,NO,NO,14430,9620,33670,N
114,390,250/500,2000,MALE,Associate,armed-forces,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,9,1,YES,YES,1180,1180,4720,N
115,258,100/300,1000,MALE,MD,machine-op-inspct,other-relative,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,NO,4770,9540,33390,Y
116,107,500/1000,2000,FEMALE,PhD,machine-op-inspct,other-relative,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,NO,9320,9320,32620,N
117,225,500/1000,2000,MALE,High School,exec-managerial,unmarried,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,NO,NO,6400,12800,51200,Y
118,164,250/500,2000,FEMALE,PhD,transport-moving,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,YES,18000,9000,63000,N
119,245,250/500,500,FEMALE,Associate,adm-clerical,husband,58000,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,NO,13240,6620,52960,N
120,255,500/1000,2000,MALE,High School,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,NO,13860,13860,41580,N
121,206,500/1000,500,FEMALE,MD,other-service,other-relative,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,NO,12760,12760,51040,Y
122,203,250/500,500,FEMALE,Masters,other-service,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,NO,YES,0,6160,49280,Y
123,22,250/500,2000,FEMALE,College,prof-specialty,other-relative,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,YES,NO,8570,17140,51420,N
124,211,100/300,500,FEMALE,JD,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,NO,7000,7000,28000,N
125,206,250/500,1000,MALE,JD,craft-repair,unmarried,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,YES,3300,9900,23100,N
126,166,100/300,2000,MALE,MD,protective-serv,unmarried,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,NO,5760,5760,28800,N
127,165,500/1000,500,FEMALE,High School,tech-support,own-child,70500,0,Parked Car,Rear Collision,Minor Damage,Police,9,1,NO,NO,330,660,2970,N
128,274,100/300,2000,MALE,College,farming-fishing,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,YES,10640,10640,42560,Y
129,81,250/500,1000,FEMALE,Masters,sales,husband,42400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,NO,NO,4970,4970,34790,Y
130,280,250/500,1000,MALE,JD,machine-op-inspct,wife,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,YES,NO,14120,14120,56480,N
131,194,250/500,500,MALE,Masters,adm-clerical,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,NO,NO,6150,12300,43050,N
132,112,100/300,500,FEMALE,Masters,tech-support,unmarried,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,NO,NO,8500,8500,34000,N
133,24,500/1000,1000,FEMALE,High School,machine-op-inspct,wife,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,NO,NO,4680,9360,32760,N
134,93,250/500,2000,MALE,PhD,exec-managerial,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,NO,NO,17360,8680,52080,N
135,171,250/500,2000,FEMALE,College,exec-managerial,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,NO,13840,6920,48440,Y
136,200,100/300,1000,FEMALE,High School,sales,other-relative,45300,-20400,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,NO,NO,410,410,2870,N
137,120,250/500,1000,FEMALE,PhD,tech-support,not-in-family,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,NO,NO,6550,6550,52400,N
138,325,500/1000,500,FEMALE,High School,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,NO,YES,13840,6920,55360,N
139,124,250/500,1000,FEMALE,MD,other-service,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,YES,12260,12260,49040,N
140,211,100/300,2000,MALE,Masters,machine-op-inspct,other-relative,76000,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,NO,9460,4730,37840,N
141,287,500/1000,2000,MALE,Masters,transport-moving,wife,0,-49000,Vehicle Theft,Rear Collision,Trivial Damage,None,9,1,NO,NO,470,940,3760,N
142,122,250/500,1000,MALE,PhD,machine-op-inspct,own-child,58600,-28700,Parked Car,Rear Collision,Minor Damage,None,5,1,NO,YES,1890,1260,5040,N
143,22,250/500,2000,MALE,MD,exec-managerial,other-relative,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,NO,NO,7080,14160,49560,Y
144,106,500/1000,2000,FEMALE,JD,farming-fishing,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,NO,YES,5070,5070,35490,N
145,398,100/300,500,FEMALE,Associate,exec-managerial,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,YES,NO,7640,15280,76400,Y
146,214,500/1000,500,MALE,Masters,tech-support,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,NO,12800,6400,44800,Y
147,209,100/300,500,FEMALE,MD,other-service,other-relative,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,NO,NO,4730,4730,37840,N
148,82,100/300,1000,MALE,PhD,adm-clerical,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,NO,8960,8960,53760,Y
149,193,250/500,500,FEMALE,JD,craft-repair,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,NO,YES,17280,17280,77760,Y
150,134,100/300,1000,FEMALE,PhD,farming-fishing,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,NO,NO,7520,15040,60160,N
151,288,100/300,1000,MALE,Masters,priv-house-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,NO,NO,10680,5340,32040,N
152,104,250/500,500,MALE,High School,exec-managerial,own-child,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,YES,YES,9780,9780,44010,Y
153,431,100/300,1000,FEMALE,Masters,craft-repair,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,NO,10540,10540,42160,N
154,101,100/300,1000,FEMALE,Masters,other-service,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,NO,9040,9040,36160,Y
155,375,100/300,1000,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,NO,0,0,37280,Y
156,461,100/300,2000,MALE,JD,exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,NO,YES,7210,14420,50470,N
157,428,250/500,500,FEMALE,JD,prof-specialty,other-relative,0,0,Parked Car,Rear Collision,Minor Damage,None,8,1,NO,NO,1300,650,4550,N
158,45,100/300,1000,MALE,Masters,machine-op-inspct,not-in-family,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,NO,NO,13040,13040,52160,N
159,136,100/300,500,FEMALE,JD,transport-moving,other-relative,62500,-66900,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,NO,NO,1240,620,4340,N
160,216,500/1000,1000,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,Parked Car,Rear Collision,Minor Damage,Police,0,1,YES,NO,560,1680,3920,N
161,278,500/1000,2000,FEMALE,MD,farming-fishing,not-in-family,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,NO,NO,11700,11700,52650,N
162,295,500/1000,1000,FEMALE,MD,exec-managerial,unmarried,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,YES,13240,13240,59580,N
